filename,hidElementKey,keyPath,controlType,midiChannel,midiData,midiMessageType,midiMaxValue,midiMinValue,flipped,inGlobalSection,buttonMode,pickupMode,rotarySensitivity,condition
/Applications/djay Pro 2.app/Contents/Resources/MIDI Mappings/Pioneer CDJ-400.djayMidiMapping,loopIn,turntableSelected.loopIn,button-blinking,,,,0,127,,False,,,,
/Applications/djay Pro 2.app/Contents/Resources/MIDI Mappings/Pioneer CDJ-400.djayMidiMapping,loopOut,turntableSelected.loopOut,button-blinking,,,,0,127,,False,,,,
/Applications/djay Pro 2.app/Contents/Resources/MIDI Mappings/Pioneer CDJ-400.djayMidiMapping,timeEnable,turntableSelected.song.loadingSuccess,,,,,,,,True,,,,
/Applications/djay Pro 2.app/Contents/Resources/MIDI Mappings/Pioneer CDJ-400.djayMidiMapping,bpmEnable,turntableSelected.song.loadingSuccess,,,,,,,,True,,,,
/Applications/djay Pro 2.app/Contents/Resources/MIDI Mappings/Pioneer CDJ-400.djayMidiMapping,playPause,turntableSelected.isPausedOrPlayingIsTemporary,button-blinking,,,,,,,True,,,,
/Applications/djay Pro 2.app/Contents/Resources/MIDI Mappings/Numark N4.djayMidiMapping,,mixer.monitorActive1,,0,64,3,,,,False,hold,,,
/Applications/djay Pro 2.app/Contents/Resources/MIDI Mappings/Numark N4.djayMidiMapping,,mixer.monitorActive2,,0,65,3,,,,False,hold,,,
/Applications/djay Pro 2.app/Contents/Resources/MIDI Mappings/Numark N4.djayMidiMapping,,mixer.monitorActive3,,0,66,3,,,,False,hold,,,
/Applications/djay Pro 2.app/Contents/Resources/MIDI Mappings/Numark N4.djayMidiMapping,,mixer.monitorActive4,,0,67,3,,,,False,hold,,,
/Applications/djay Pro 2.app/Contents/Resources/MIDI Mappings/Numark N4.djayMidiMapping,,musicLibrary.load1,,1,30,3,,,,False,,,,
/Applications/djay Pro 2.app/Contents/Resources/MIDI Mappings/Numark N4.djayMidiMapping,,musicLibrary.load2,,2,31,3,,,,False,,,,
/Applications/djay Pro 2.app/Contents/Resources/MIDI Mappings/Numark N4.djayMidiMapping,,musicLibrary.load3,,3,32,3,,,,False,,,,
/Applications/djay Pro 2.app/Contents/Resources/MIDI Mappings/Numark N4.djayMidiMapping,,musicLibrary.load4,,4,33,3,,,,False,,,,
/Applications/djay Pro 2.app/Contents/Resources/MIDI Mappings/Numark N4.djayMidiMapping,,turntable1.cuePositionOrJumpConsideringPlayState1,,1,8,3,,,,False,,,,
/Applications/djay Pro 2.app/Contents/Resources/MIDI Mappings/Numark N4.djayMidiMapping,,turntable1.playPause,,1,9,3,,,,False,,,,
/Applications/djay Pro 2.app/Contents/Resources/MIDI Mappings/Numark N4.djayMidiMapping,,turntable1.bpmSync,,1,7,3,,,,False,,,,
/Applications/djay Pro 2.app/Contents/Resources/MIDI Mappings/Numark N4.djayMidiMapping,,turntable1.bpmTap,,1,22,3,,,,False,,,,
