filename,hidElementKey,keyPath,controlType,midiChannel,midiData,midiMessageType,midiMaxValue,midiMinValue,flipped
/Applications/djay Pro 2.app/Contents/Resources/MIDI Mappings/Pioneer CDJ-400.djayMidiMapping,timeEnable,turntableSelected.song.loadingSuccess,,,,,,,
/Applications/djay Pro 2.app/Contents/Resources/MIDI Mappings/Pioneer CDJ-400.djayMidiMapping,bpmEnable,turntableSelected.song.loadingSuccess,,,,,,,
/Applications/djay Pro 2.app/Contents/Resources/MIDI Mappings/Pioneer CDJ-400.djayMidiMapping,playPause,turntableSelected.isPausedOrPlayingIsTemporary,button-blinking,,,,,,
/Applications/djay Pro 2.app/Contents/Resources/MIDI Mappings/Reloop Mixon4.djayMidiMapping,,turntable1.monoMeter,control,4,30,3,,,
/Applications/djay Pro 2.app/Contents/Resources/MIDI Mappings/Reloop Mixon4.djayMidiMapping,,turntable2.monoMeter,control,5,30,3,,,
/Applications/djay Pro 2.app/Contents/Resources/MIDI Mappings/Reloop Mixon4.djayMidiMapping,,turntable3.monoMeter,control,6,30,3,,,
/Applications/djay Pro 2.app/Contents/Resources/MIDI Mappings/Reloop Mixon4.djayMidiMapping,,turntable4.monoMeter,control,7,30,3,,,
/Applications/djay Pro 2.app/Contents/Resources/MIDI Mappings/Reloop Mixon4.djayMidiMapping,,mixer.masterLeftMeter,control,10,5,3,,,
/Applications/djay Pro 2.app/Contents/Resources/MIDI Mappings/Reloop Mixon4.djayMidiMapping,,mixer.masterRightMeter,control,10,6,3,,,
/Applications/djay Pro 2.app/Contents/Resources/MIDI Mappings/Pioneer CDJ-2000.djayMidiMapping,jogIllumination,turntableSelected.song.loadingSuccess,,,,,,,
/Applications/djay Pro 2.app/Contents/Resources/MIDI Mappings/Pioneer CDJ-2000.djayMidiMapping,timeEnable,turntableSelected.song.loadingSuccess,,,,,,,
/Applications/djay Pro 2.app/Contents/Resources/MIDI Mappings/Pioneer CDJ-2000.djayMidiMapping,bpmEnable,turntableSelected.song.loadingSuccess,,,,,,,
/Applications/djay Pro 2.app/Contents/Resources/MIDI Mappings/Pioneer CDJ-2000.djayMidiMapping,playPause,turntableSelected.isPausedOrPlayingIsTemporary,button-blinking,,,,,,
/Applications/djay Pro 2.app/Contents/Resources/MIDI Mappings/Pioneer DDJ-WeGO.djayMidiMapping,,turntable1.song.loadingSuccess,,11,12,1,,,
/Applications/djay Pro 2.app/Contents/Resources/MIDI Mappings/Pioneer DDJ-WeGO.djayMidiMapping,,turntable1.isPlayingRamped,,0,110,1,,,
/Applications/djay Pro 2.app/Contents/Resources/MIDI Mappings/Pioneer DDJ-WeGO.djayMidiMapping,,turntable2.song.loadingSuccess,,11,13,1,,,
